str_code,spu_code,eligibility_status,recommendation
S01083,SPU_毛呢大_0483,INELIGIBLE,NONE
S01084,SPU_夹克_0484,INELIGIBLE,NONE
S01085,SPU_针织衫_0485,INELIGIBLE,NONE
S01086,SPU_T恤_0486,ELIGIBLE,NONE
S01087,SPU_短裤_0487,ELIGIBLE,NONE
S01088,SPU_短袖_0488,ELIGIBLE,NONE
S01089,SPU_内衣_0489,ELIGIBLE,NONE
S01090,SPU_配饰_0490,ELIGIBLE,ADD
S01091,SPU_直筒裤_0491,ELIGIBLE,NONE
S01092,SPU_束脚裤_0492,ELIGIBLE,ADD
S01093,SPU_锥形裤_0493,ELIGIBLE,NONE
S01094,SPU_羽绒服_0494,INELIGIBLE,NONE
S01095,SPU_棉服_0495,INELIGIBLE,NONE
S01096,SPU_毛呢大_0496,INELIGIBLE,NONE
S01097,SPU_夹克_0497,INELIGIBLE,NONE
S01098,SPU_针织衫_0498,INELIGIBLE,NONE
S01099,SPU_T恤_0499,ELIGIBLE,NONE
S01000,SPU_短裤_0500,ELIGIBLE,NONE
S01001,SPU_短袖_0501,ELIGIBLE,ADD
S01002,SPU_内衣_0502,ELIGIBLE,NONE
S01003,SPU_配饰_0503,ELIGIBLE,NONE
S01004,SPU_直筒裤_0504,ELIGIBLE,NONE
S01005,SPU_束脚裤_0505,ELIGIBLE,NONE
S01006,SPU_锥形裤_0506,ELIGIBLE,NONE
S01007,SPU_羽绒服_0507,INELIGIBLE,NONE
S01008,SPU_棉服_0508,INELIGIBLE,NONE
S01009,SPU_毛呢大_0509,INELIGIBLE,NONE
S01010,SPU_夹克_0510,INELIGIBLE,NONE
S01011,SPU_针织衫_0511,INELIGIBLE,NONE
S01012,SPU_T恤_0512,ELIGIBLE,NONE
S01013,SPU_短裤_0513,ELIGIBLE,NONE
S01014,SPU_短袖_0514,ELIGIBLE,NONE
S01015,SPU_内衣_0515,ELIGIBLE,NONE
S01016,SPU_配饰_0516,ELIGIBLE,ADD
S01017,SPU_直筒裤_0517,ELIGIBLE,NONE
S01018,SPU_束脚裤_0518,ELIGIBLE,NONE
S01019,SPU_锥形裤_0519,ELIGIBLE,NONE
S01020,SPU_羽绒服_0520,INELIGIBLE,NONE
S01021,SPU_棉服_0521,INELIGIBLE,NONE
S01022,SPU_毛呢大_0522,INELIGIBLE,NONE
S01023,SPU_夹克_0523,INELIGIBLE,NONE
S01024,SPU_针织衫_0524,INELIGIBLE,NONE
S01025,SPU_T恤_0525,ELIGIBLE,NONE
S01026,SPU_短裤_0526,ELIGIBLE,NONE
S01027,SPU_短袖_0527,ELIGIBLE,NONE
S01028,SPU_内衣_0528,ELIGIBLE,NONE
S01029,SPU_配饰_0529,ELIGIBLE,NONE
S01030,SPU_直筒裤_0530,ELIGIBLE,NONE
S01031,SPU_束脚裤_0531,ELIGIBLE,NONE
S01032,SPU_锥形裤_0532,ELIGIBLE,ADD
S01033,SPU_羽绒服_0533,INELIGIBLE,NONE
S01034,SPU_棉服_0534,INELIGIBLE,NONE
S01035,SPU_毛呢大_0535,INELIGIBLE,NONE
S01036,SPU_夹克_0536,INELIGIBLE,NONE
S01037,SPU_针织衫_0537,INELIGIBLE,NONE
S01038,SPU_T恤_0538,ELIGIBLE,NONE
S01039,SPU_短裤_0539,ELIGIBLE,NONE
S01040,SPU_短袖_0540,ELIGIBLE,ADD
S01041,SPU_内衣_0541,ELIGIBLE,NONE
S01042,SPU_配饰_0542,ELIGIBLE,ADD
S01043,SPU_直筒裤_0543,ELIGIBLE,NONE
S01044,SPU_束脚裤_0544,ELIGIBLE,NONE
S01045,SPU_锥形裤_0545,ELIGIBLE,NONE
S01046,SPU_羽绒服_0546,INELIGIBLE,NONE
S01047,SPU_棉服_0547,INELIGIBLE,NONE
S01048,SPU_毛呢大_0548,INELIGIBLE,NONE
S01049,SPU_夹克_0549,INELIGIBLE,NONE
S01050,SPU_针织衫_0550,INELIGIBLE,NONE
S01051,SPU_T恤_0551,ELIGIBLE,NONE
S01052,SPU_短裤_0552,ELIGIBLE,NONE
S01053,SPU_短袖_0553,ELIGIBLE,ADD
S01054,SPU_内衣_0554,ELIGIBLE,NONE
S01055,SPU_配饰_0555,ELIGIBLE,NONE
S01056,SPU_直筒裤_0556,ELIGIBLE,NONE
S01057,SPU_束脚裤_0557,ELIGIBLE,NONE
S01058,SPU_锥形裤_0558,ELIGIBLE,NONE
S01059,SPU_羽绒服_0559,INELIGIBLE,NONE
S01060,SPU_棉服_0560,INELIGIBLE,NONE
S01061,SPU_毛呢大_0561,INELIGIBLE,NONE
S01062,SPU_夹克_0562,INELIGIBLE,NONE
S01063,SPU_针织衫_0563,INELIGIBLE,NONE
S01064,SPU_T恤_0564,ELIGIBLE,NONE
S01065,SPU_短裤_0565,ELIGIBLE,NONE
S01066,SPU_短袖_0566,ELIGIBLE,NONE
S01067,SPU_内衣_0567,ELIGIBLE,NONE
S01068,SPU_配饰_0568,ELIGIBLE,NONE
S01069,SPU_直筒裤_0569,ELIGIBLE,NONE
S01070,SPU_束脚裤_0570,ELIGIBLE,NONE
S01071,SPU_锥形裤_0571,ELIGIBLE,NONE
S01072,SPU_羽绒服_0572,INELIGIBLE,NONE
S01073,SPU_棉服_0573,INELIGIBLE,NONE
S01074,SPU_毛呢大_0574,INELIGIBLE,NONE
S01075,SPU_夹克_0575,INELIGIBLE,NONE
S01076,SPU_针织衫_0576,INELIGIBLE,NONE
S01077,SPU_T恤_0577,ELIGIBLE,NONE
S01078,SPU_短裤_0578,ELIGIBLE,NONE
S01079,SPU_短袖_0579,ELIGIBLE,NONE
S01080,SPU_内衣_0580,ELIGIBLE,NONE
S01081,SPU_配饰_0581,ELIGIBLE,NONE
S01082,SPU_直筒裤_0582,ELIGIBLE,NONE
S01083,SPU_束脚裤_0583,ELIGIBLE,NONE
S01084,SPU_锥形裤_0584,ELIGIBLE,NONE
S01085,SPU_羽绒服_0585,INELIGIBLE,NONE
S01086,SPU_棉服_0586,INELIGIBLE,NONE
S01087,SPU_毛呢大_0587,INELIGIBLE,NONE
S01088,SPU_夹克_0588,INELIGIBLE,NONE
S01089,SPU_针织衫_0589,INELIGIBLE,NONE
S01090,SPU_T恤_0590,ELIGIBLE,NONE
S01091,SPU_短裤_0591,ELIGIBLE,NONE
S01092,SPU_短袖_0592,ELIGIBLE,NONE
S01093,SPU_内衣_0593,ELIGIBLE,NONE
S01094,SPU_配饰_0594,ELIGIBLE,NONE
S01095,SPU_直筒裤_0595,ELIGIBLE,NONE
S01096,SPU_束脚裤_0596,ELIGIBLE,ADD
S01097,SPU_锥形裤_0597,ELIGIBLE,ADD
S01098,SPU_羽绒服_0598,INELIGIBLE,NONE
S01099,SPU_棉服_0599,INELIGIBLE,NONE
S01000,SPU_毛呢大_0600,INELIGIBLE,NONE
S01001,SPU_夹克_0601,INELIGIBLE,NONE
S01002,SPU_针织衫_0602,INELIGIBLE,NONE
S01003,SPU_T恤_0603,ELIGIBLE,NONE
S01004,SPU_短裤_0604,ELIGIBLE,NONE
S01005,SPU_短袖_0605,ELIGIBLE,NONE
S01006,SPU_内衣_0606,ELIGIBLE,ADD
S01007,SPU_配饰_0607,ELIGIBLE,NONE
S01008,SPU_直筒裤_0608,ELIGIBLE,ADD
S01009,SPU_束脚裤_0609,ELIGIBLE,NONE
S01010,SPU_锥形裤_0610,ELIGIBLE,NONE
S01011,SPU_羽绒服_0611,INELIGIBLE,NONE
S01012,SPU_棉服_0612,INELIGIBLE,NONE
S01013,SPU_毛呢大_0613,INELIGIBLE,NONE
S01014,SPU_夹克_0614,INELIGIBLE,NONE
S01015,SPU_针织衫_0615,INELIGIBLE,NONE
S01016,SPU_T恤_0616,ELIGIBLE,NONE
S01017,SPU_短裤_0617,ELIGIBLE,NONE
S01018,SPU_短袖_0618,ELIGIBLE,NONE
S01019,SPU_内衣_0619,ELIGIBLE,NONE
S01020,SPU_配饰_0620,ELIGIBLE,NONE
S01021,SPU_直筒裤_0621,ELIGIBLE,NONE
S01022,SPU_束脚裤_0622,ELIGIBLE,NONE
S01023,SPU_锥形裤_0623,ELIGIBLE,NONE
S01024,SPU_羽绒服_0624,INELIGIBLE,NONE
S01025,SPU_棉服_0625,INELIGIBLE,NONE
S01026,SPU_毛呢大_0626,INELIGIBLE,NONE
S01027,SPU_夹克_0627,INELIGIBLE,NONE
S01028,SPU_针织衫_0628,INELIGIBLE,NONE
S01029,SPU_T恤_0629,ELIGIBLE,ADD
S01030,SPU_短裤_0630,ELIGIBLE,NONE
S01031,SPU_短袖_0631,ELIGIBLE,NONE
S01032,SPU_内衣_0632,ELIGIBLE,NONE
S01033,SPU_配饰_0633,ELIGIBLE,NONE
S01034,SPU_直筒裤_0634,ELIGIBLE,NONE
S01035,SPU_束脚裤_0635,ELIGIBLE,ADD
S01036,SPU_锥形裤_0636,ELIGIBLE,NONE
S01037,SPU_羽绒服_0637,INELIGIBLE,NONE
S01038,SPU_棉服_0638,INELIGIBLE,NONE
S01039,SPU_毛呢大_0639,INELIGIBLE,NONE
S01040,SPU_夹克_0640,INELIGIBLE,NONE
S01041,SPU_针织衫_0641,INELIGIBLE,NONE
S01042,SPU_T恤_0642,ELIGIBLE,NONE
S01043,SPU_短裤_0643,ELIGIBLE,ADD
S01044,SPU_短袖_0644,ELIGIBLE,NONE
S01045,SPU_内衣_0645,ELIGIBLE,NONE
S01046,SPU_配饰_0646,ELIGIBLE,NONE
S01047,SPU_直筒裤_0647,ELIGIBLE,NONE
S01048,SPU_束脚裤_0648,ELIGIBLE,NONE
S01049,SPU_锥形裤_0649,ELIGIBLE,NONE
S01050,SPU_羽绒服_0650,INELIGIBLE,NONE
S01051,SPU_棉服_0651,INELIGIBLE,NONE
S01052,SPU_毛呢大_0652,INELIGIBLE,NONE
S01053,SPU_夹克_0653,INELIGIBLE,NONE
S01054,SPU_针织衫_0654,INELIGIBLE,NONE
S01055,SPU_T恤_0655,ELIGIBLE,NONE
S01056,SPU_短裤_0656,ELIGIBLE,NONE
S01057,SPU_短袖_0657,ELIGIBLE,ADD
S01058,SPU_内衣_0658,ELIGIBLE,NONE
S01059,SPU_配饰_0659,ELIGIBLE,NONE
S01060,SPU_直筒裤_0660,ELIGIBLE,NONE
S01061,SPU_束脚裤_0661,ELIGIBLE,NONE
S01062,SPU_锥形裤_0662,ELIGIBLE,NONE
S01063,SPU_羽绒服_0663,INELIGIBLE,NONE
S01064,SPU_棉服_0664,INELIGIBLE,NONE
S01065,SPU_毛呢大_0665,INELIGIBLE,NONE
S01066,SPU_夹克_0666,INELIGIBLE,NONE
S01067,SPU_针织衫_0667,INELIGIBLE,NONE
S01068,SPU_T恤_0668,ELIGIBLE,NONE
S01069,SPU_短裤_0669,ELIGIBLE,ADD
S01070,SPU_短袖_0670,ELIGIBLE,NONE
S01071,SPU_内衣_0671,ELIGIBLE,NONE
S01072,SPU_配饰_0672,ELIGIBLE,NONE
S01073,SPU_直筒裤_0673,ELIGIBLE,NONE
S01074,SPU_束脚裤_0674,ELIGIBLE,NONE
S01075,SPU_锥形裤_0675,ELIGIBLE,NONE
S01076,SPU_羽绒服_0676,INELIGIBLE,NONE
S01077,SPU_棉服_0677,INELIGIBLE,NONE
S01078,SPU_毛呢大_0678,INELIGIBLE,NONE
S01079,SPU_夹克_0679,INELIGIBLE,NONE
S01080,SPU_针织衫_0680,INELIGIBLE,NONE
S01081,SPU_T恤_0681,ELIGIBLE,NONE
S01082,SPU_短裤_0682,ELIGIBLE,NONE
S01083,SPU_短袖_0683,ELIGIBLE,NONE
S01084,SPU_内衣_0684,ELIGIBLE,NONE
S01085,SPU_配饰_0685,ELIGIBLE,NONE
S01086,SPU_直筒裤_0686,ELIGIBLE,NONE
S01087,SPU_束脚裤_0687,ELIGIBLE,NONE
S01088,SPU_锥形裤_0688,ELIGIBLE,NONE
S01089,SPU_羽绒服_0689,INELIGIBLE,NONE
S01090,SPU_棉服_0690,INELIGIBLE,NONE
S01091,SPU_毛呢大_0691,INELIGIBLE,NONE
S01092,SPU_夹克_0692,INELIGIBLE,NONE
S01093,SPU_针织衫_0693,INELIGIBLE,NONE
S01094,SPU_T恤_0694,ELIGIBLE,NONE
S01095,SPU_短裤_0695,ELIGIBLE,NONE
S01096,SPU_短袖_0696,ELIGIBLE,NONE
S01097,SPU_内衣_0697,ELIGIBLE,NONE
S01098,SPU_配饰_0698,ELIGIBLE,NONE
S01099,SPU_直筒裤_0699,ELIGIBLE,NONE
S01000,SPU_束脚裤_0700,ELIGIBLE,NONE
S01001,SPU_锥形裤_0701,ELIGIBLE,NONE
S01002,SPU_羽绒服_0702,INELIGIBLE,NONE
S01003,SPU_棉服_0703,INELIGIBLE,NONE
S01004,SPU_毛呢大_0704,INELIGIBLE,NONE
S01005,SPU_夹克_0705,INELIGIBLE,NONE
S01006,SPU_针织衫_0706,INELIGIBLE,NONE
S01007,SPU_T恤_0707,ELIGIBLE,NONE
S01008,SPU_短裤_0708,ELIGIBLE,NONE
S01009,SPU_短袖_0709,ELIGIBLE,NONE
S01010,SPU_内衣_0710,ELIGIBLE,NONE
S01011,SPU_配饰_0711,ELIGIBLE,NONE
S01012,SPU_直筒裤_0712,ELIGIBLE,NONE
S01013,SPU_束脚裤_0713,ELIGIBLE,NONE
S01014,SPU_锥形裤_0714,ELIGIBLE,ADD
S01015,SPU_羽绒服_0715,INELIGIBLE,NONE
S01016,SPU_棉服_0716,INELIGIBLE,NONE
S01017,SPU_毛呢大_0717,INELIGIBLE,NONE
S01018,SPU_夹克_0718,INELIGIBLE,NONE
S01019,SPU_针织衫_0719,INELIGIBLE,NONE
S01020,SPU_T恤_0720,ELIGIBLE,NONE
S01021,SPU_短裤_0721,ELIGIBLE,NONE
S01022,SPU_短袖_0722,ELIGIBLE,NONE
S01023,SPU_内衣_0723,ELIGIBLE,ADD
S01024,SPU_配饰_0724,ELIGIBLE,NONE
S01025,SPU_直筒裤_0725,ELIGIBLE,NONE
S01026,SPU_束脚裤_0726,ELIGIBLE,NONE
S01027,SPU_锥形裤_0727,ELIGIBLE,NONE
S01028,SPU_羽绒服_0728,INELIGIBLE,NONE
S01029,SPU_棉服_0729,INELIGIBLE,NONE
S01030,SPU_毛呢大_0730,INELIGIBLE,NONE
S01031,SPU_夹克_0731,INELIGIBLE,NONE
S01032,SPU_针织衫_0732,INELIGIBLE,NONE
S01033,SPU_T恤_0733,ELIGIBLE,NONE
S01034,SPU_短裤_0734,ELIGIBLE,NONE
S01035,SPU_短袖_0735,ELIGIBLE,NONE
S01036,SPU_内衣_0736,ELIGIBLE,NONE
S01037,SPU_配饰_0737,ELIGIBLE,NONE
S01038,SPU_直筒裤_0738,ELIGIBLE,NONE
S01039,SPU_束脚裤_0739,ELIGIBLE,ADD
S01040,SPU_锥形裤_0740,ELIGIBLE,NONE
S01041,SPU_羽绒服_0741,INELIGIBLE,NONE
S01042,SPU_棉服_0742,INELIGIBLE,NONE
S01043,SPU_毛呢大_0743,INELIGIBLE,NONE
S01044,SPU_夹克_0744,INELIGIBLE,NONE
S01045,SPU_针织衫_0745,INELIGIBLE,NONE
S01046,SPU_T恤_0746,ELIGIBLE,NONE
S01047,SPU_短裤_0747,ELIGIBLE,NONE
S01048,SPU_短袖_0748,ELIGIBLE,NONE
S01049,SPU_内衣_0749,ELIGIBLE,ADD
S01050,SPU_配饰_0750,ELIGIBLE,NONE
S01051,SPU_直筒裤_0751,ELIGIBLE,NONE
S01052,SPU_束脚裤_0752,ELIGIBLE,NONE
S01053,SPU_锥形裤_0753,ELIGIBLE,NONE
S01054,SPU_羽绒服_0754,INELIGIBLE,NONE
S01055,SPU_棉服_0755,INELIGIBLE,NONE
S01056,SPU_毛呢大_0756,INELIGIBLE,NONE
S01057,SPU_夹克_0757,INELIGIBLE,NONE
S01058,SPU_针织衫_0758,INELIGIBLE,NONE
S01059,SPU_T恤_0759,ELIGIBLE,NONE
S01060,SPU_短裤_0760,ELIGIBLE,NONE
S01061,SPU_短袖_0761,ELIGIBLE,NONE
S01062,SPU_内衣_0762,ELIGIBLE,NONE
S01063,SPU_配饰_0763,ELIGIBLE,NONE
S01064,SPU_直筒裤_0764,ELIGIBLE,NONE
S01065,SPU_束脚裤_0765,ELIGIBLE,NONE
S01066,SPU_锥形裤_0766,ELIGIBLE,NONE
S01067,SPU_羽绒服_0767,INELIGIBLE,NONE
S01068,SPU_棉服_0768,INELIGIBLE,NONE
S01069,SPU_毛呢大_0769,INELIGIBLE,NONE
S01070,SPU_夹克_0770,INELIGIBLE,NONE
S01071,SPU_针织衫_0771,INELIGIBLE,NONE
S01072,SPU_T恤_0772,ELIGIBLE,NONE
S01073,SPU_短裤_0773,ELIGIBLE,ADD
S01074,SPU_短袖_0774,ELIGIBLE,ADD
S01075,SPU_内衣_0775,ELIGIBLE,NONE
S01076,SPU_配饰_0776,ELIGIBLE,NONE
S01077,SPU_直筒裤_0777,ELIGIBLE,NONE
S01078,SPU_束脚裤_0778,ELIGIBLE,NONE
S01079,SPU_锥形裤_0779,ELIGIBLE,NONE
S01080,SPU_羽绒服_0780,INELIGIBLE,NONE
S01081,SPU_棉服_0781,INELIGIBLE,NONE
S01082,SPU_毛呢大_0782,INELIGIBLE,NONE
S01083,SPU_夹克_0783,INELIGIBLE,NONE
S01084,SPU_针织衫_0784,INELIGIBLE,NONE
S01085,SPU_T恤_0785,ELIGIBLE,ADD
S01086,SPU_短裤_0786,ELIGIBLE,NONE
S01087,SPU_短袖_0787,ELIGIBLE,NONE
S01088,SPU_内衣_0788,ELIGIBLE,NONE
S01089,SPU_配饰_0789,ELIGIBLE,ADD
S01090,SPU_直筒裤_0790,ELIGIBLE,NONE
S01091,SPU_束脚裤_0791,ELIGIBLE,ADD
S01092,SPU_锥形裤_0792,ELIGIBLE,NONE
S01093,SPU_羽绒服_0793,INELIGIBLE,NONE
S01094,SPU_棉服_0794,INELIGIBLE,NONE
S01095,SPU_毛呢大_0795,INELIGIBLE,NONE
S01096,SPU_夹克_0796,INELIGIBLE,NONE
S01097,SPU_针织衫_0797,INELIGIBLE,NONE
S01098,SPU_T恤_0798,ELIGIBLE,NONE
S01099,SPU_短裤_0799,ELIGIBLE,NONE
S01000,SPU_短袖_0800,ELIGIBLE,NONE
S01001,SPU_内衣_0801,ELIGIBLE,NONE
S01002,SPU_配饰_0802,ELIGIBLE,NONE
S01003,SPU_直筒裤_0803,ELIGIBLE,NONE
S01004,SPU_束脚裤_0804,ELIGIBLE,NONE
S01005,SPU_锥形裤_0805,ELIGIBLE,NONE
S01006,SPU_羽绒服_0806,INELIGIBLE,NONE
S01007,SPU_棉服_0807,INELIGIBLE,NONE
S01008,SPU_毛呢大_0808,INELIGIBLE,NONE
S01009,SPU_夹克_0809,INELIGIBLE,NONE
S01010,SPU_针织衫_0810,INELIGIBLE,NONE
S01011,SPU_T恤_0811,ELIGIBLE,NONE
S01012,SPU_短裤_0812,ELIGIBLE,NONE
S01013,SPU_短袖_0813,ELIGIBLE,NONE
S01014,SPU_内衣_0814,ELIGIBLE,NONE
S01015,SPU_配饰_0815,ELIGIBLE,NONE
S01016,SPU_直筒裤_0816,ELIGIBLE,NONE
S01017,SPU_束脚裤_0817,ELIGIBLE,NONE
S01018,SPU_锥形裤_0818,ELIGIBLE,NONE
S01019,SPU_羽绒服_0819,INELIGIBLE,NONE
S01020,SPU_棉服_0820,INELIGIBLE,NONE
S01021,SPU_毛呢大_0821,INELIGIBLE,NONE
S01022,SPU_夹克_0822,INELIGIBLE,NONE
S01023,SPU_针织衫_0823,INELIGIBLE,NONE
S01024,SPU_T恤_0824,ELIGIBLE,NONE
S01025,SPU_短裤_0825,ELIGIBLE,NONE
S01026,SPU_短袖_0826,ELIGIBLE,NONE
S01027,SPU_内衣_0827,ELIGIBLE,NONE
S01028,SPU_配饰_0828,ELIGIBLE,NONE
S01029,SPU_直筒裤_0829,ELIGIBLE,NONE
S01030,SPU_束脚裤_0830,ELIGIBLE,NONE
S01031,SPU_锥形裤_0831,ELIGIBLE,NONE
S01032,SPU_羽绒服_0832,INELIGIBLE,NONE
S01033,SPU_棉服_0833,INELIGIBLE,NONE
S01034,SPU_毛呢大_0834,INELIGIBLE,NONE
S01035,SPU_夹克_0835,INELIGIBLE,NONE
S01036,SPU_针织衫_0836,INELIGIBLE,NONE
S01037,SPU_T恤_0837,ELIGIBLE,NONE
S01038,SPU_短裤_0838,ELIGIBLE,ADD
S01039,SPU_短袖_0839,ELIGIBLE,NONE
S01040,SPU_内衣_0840,ELIGIBLE,NONE
S01041,SPU_配饰_0841,ELIGIBLE,NONE
S01042,SPU_直筒裤_0842,ELIGIBLE,NONE
S01043,SPU_束脚裤_0843,ELIGIBLE,NONE
S01044,SPU_锥形裤_0844,ELIGIBLE,NONE
S01045,SPU_羽绒服_0845,INELIGIBLE,NONE
S01046,SPU_棉服_0846,INELIGIBLE,NONE
S01047,SPU_毛呢大_0847,INELIGIBLE,NONE
S01048,SPU_夹克_0848,INELIGIBLE,NONE
S01049,SPU_针织衫_0849,INELIGIBLE,NONE
S01050,SPU_T恤_0850,ELIGIBLE,ADD
S01051,SPU_短裤_0851,ELIGIBLE,NONE
S01052,SPU_短袖_0852,ELIGIBLE,NONE
S01053,SPU_内衣_0853,ELIGIBLE,NONE
S01054,SPU_配饰_0854,ELIGIBLE,NONE
S01055,SPU_直筒裤_0855,ELIGIBLE,NONE
S01056,SPU_束脚裤_0856,ELIGIBLE,ADD
S01057,SPU_锥形裤_0857,ELIGIBLE,ADD
S01058,SPU_羽绒服_0858,INELIGIBLE,NONE
S01059,SPU_棉服_0859,INELIGIBLE,NONE
S01060,SPU_毛呢大_0860,INELIGIBLE,NONE
S01061,SPU_夹克_0861,INELIGIBLE,NONE
S01062,SPU_针织衫_0862,INELIGIBLE,NONE
S01063,SPU_T恤_0863,ELIGIBLE,NONE
S01064,SPU_短裤_0864,ELIGIBLE,NONE
S01065,SPU_短袖_0865,ELIGIBLE,NONE
S01066,SPU_内衣_0866,ELIGIBLE,NONE
S01067,SPU_配饰_0867,ELIGIBLE,NONE
S01068,SPU_直筒裤_0868,ELIGIBLE,NONE
S01069,SPU_束脚裤_0869,ELIGIBLE,NONE
S01070,SPU_锥形裤_0870,ELIGIBLE,NONE
S01071,SPU_羽绒服_0871,INELIGIBLE,NONE
S01072,SPU_棉服_0872,INELIGIBLE,NONE
S01073,SPU_毛呢大_0873,INELIGIBLE,NONE
S01074,SPU_夹克_0874,INELIGIBLE,NONE
S01075,SPU_针织衫_0875,INELIGIBLE,NONE
S01076,SPU_T恤_0876,ELIGIBLE,NONE
S01077,SPU_短裤_0877,ELIGIBLE,NONE
S01078,SPU_短袖_0878,ELIGIBLE,NONE
S01079,SPU_内衣_0879,ELIGIBLE,NONE
S01080,SPU_配饰_0880,ELIGIBLE,NONE
S01081,SPU_直筒裤_0881,ELIGIBLE,ADD
S01082,SPU_束脚裤_0882,ELIGIBLE,NONE
S01083,SPU_锥形裤_0883,ELIGIBLE,NONE
S01084,SPU_羽绒服_0884,INELIGIBLE,NONE
S01085,SPU_棉服_0885,INELIGIBLE,NONE
S01086,SPU_毛呢大_0886,INELIGIBLE,NONE
S01087,SPU_夹克_0887,INELIGIBLE,NONE
S01088,SPU_针织衫_0888,INELIGIBLE,NONE
S01089,SPU_T恤_0889,ELIGIBLE,ADD
S01090,SPU_短裤_0890,ELIGIBLE,ADD
S01091,SPU_短袖_0891,ELIGIBLE,NONE
S01092,SPU_内衣_0892,ELIGIBLE,ADD
S01093,SPU_配饰_0893,ELIGIBLE,NONE
S01094,SPU_直筒裤_0894,ELIGIBLE,NONE
S01095,SPU_束脚裤_0895,ELIGIBLE,NONE
S01096,SPU_锥形裤_0896,ELIGIBLE,NONE
S01097,SPU_羽绒服_0897,INELIGIBLE,NONE
S01098,SPU_棉服_0898,INELIGIBLE,NONE
S01099,SPU_毛呢大_0899,INELIGIBLE,NONE
S01000,SPU_夹克_0900,INELIGIBLE,NONE
S01001,SPU_针织衫_0901,INELIGIBLE,NONE
S01002,SPU_T恤_0902,ELIGIBLE,NONE
S01003,SPU_短裤_0903,ELIGIBLE,NONE
S01004,SPU_短袖_0904,ELIGIBLE,ADD
S01005,SPU_内衣_0905,ELIGIBLE,NONE
S01006,SPU_配饰_0906,ELIGIBLE,NONE
S01007,SPU_直筒裤_0907,ELIGIBLE,NONE
S01008,SPU_束脚裤_0908,ELIGIBLE,NONE
S01009,SPU_锥形裤_0909,ELIGIBLE,NONE
S01010,SPU_羽绒服_0910,INELIGIBLE,NONE
S01011,SPU_棉服_0911,INELIGIBLE,NONE
S01012,SPU_毛呢大_0912,INELIGIBLE,NONE
S01013,SPU_夹克_0913,INELIGIBLE,NONE
S01014,SPU_针织衫_0914,INELIGIBLE,NONE
S01015,SPU_T恤_0915,ELIGIBLE,NONE
S01016,SPU_短裤_0916,ELIGIBLE,NONE
S01017,SPU_短袖_0917,ELIGIBLE,NONE
S01018,SPU_内衣_0918,ELIGIBLE,NONE
S01019,SPU_配饰_0919,ELIGIBLE,NONE
S01020,SPU_直筒裤_0920,ELIGIBLE,ADD
S01021,SPU_束脚裤_0921,ELIGIBLE,ADD
S01022,SPU_锥形裤_0922,ELIGIBLE,NONE
S01023,SPU_羽绒服_0923,INELIGIBLE,NONE
S01024,SPU_棉服_0924,INELIGIBLE,NONE
S01025,SPU_毛呢大_0925,INELIGIBLE,NONE
S01026,SPU_夹克_0926,INELIGIBLE,NONE
S01027,SPU_针织衫_0927,INELIGIBLE,NONE
S01028,SPU_T恤_0928,ELIGIBLE,NONE
S01029,SPU_短裤_0929,ELIGIBLE,NONE
S01030,SPU_短袖_0930,ELIGIBLE,NONE
S01031,SPU_内衣_0931,ELIGIBLE,NONE
S01032,SPU_配饰_0932,ELIGIBLE,NONE
S01033,SPU_直筒裤_0933,ELIGIBLE,NONE
S01034,SPU_束脚裤_0934,ELIGIBLE,NONE
S01035,SPU_锥形裤_0935,ELIGIBLE,ADD
S01036,SPU_羽绒服_0936,INELIGIBLE,NONE
S01037,SPU_棉服_0937,INELIGIBLE,NONE
S01038,SPU_毛呢大_0938,INELIGIBLE,NONE
S01039,SPU_夹克_0939,INELIGIBLE,NONE
S01040,SPU_针织衫_0940,INELIGIBLE,NONE
S01041,SPU_T恤_0941,ELIGIBLE,NONE
S01042,SPU_短裤_0942,ELIGIBLE,NONE
S01043,SPU_短袖_0943,ELIGIBLE,NONE
S01044,SPU_内衣_0944,ELIGIBLE,NONE
S01045,SPU_配饰_0945,ELIGIBLE,NONE
S01046,SPU_直筒裤_0946,ELIGIBLE,NONE
S01047,SPU_束脚裤_0947,ELIGIBLE,NONE
S01048,SPU_锥形裤_0948,ELIGIBLE,NONE
S01049,SPU_羽绒服_0949,INELIGIBLE,NONE
S01050,SPU_棉服_0950,INELIGIBLE,NONE
S01051,SPU_毛呢大_0951,INELIGIBLE,NONE
S01052,SPU_夹克_0952,INELIGIBLE,NONE
S01053,SPU_针织衫_0953,INELIGIBLE,NONE
S01054,SPU_T恤_0954,ELIGIBLE,NONE
S01055,SPU_短裤_0955,ELIGIBLE,ADD
S01056,SPU_短袖_0956,ELIGIBLE,NONE
S01057,SPU_内衣_0957,ELIGIBLE,NONE
S01058,SPU_配饰_0958,ELIGIBLE,NONE
S01059,SPU_直筒裤_0959,ELIGIBLE,NONE
S01060,SPU_束脚裤_0960,ELIGIBLE,NONE
S01061,SPU_锥形裤_0961,ELIGIBLE,NONE
S01062,SPU_羽绒服_0962,INELIGIBLE,NONE
S01063,SPU_棉服_0963,INELIGIBLE,NONE
S01064,SPU_毛呢大_0964,INELIGIBLE,NONE
S01065,SPU_夹克_0965,INELIGIBLE,NONE
S01066,SPU_针织衫_0966,INELIGIBLE,NONE
